id,codigo,ex,tipo,descricao,nacional_federal,importados_federal,estadual,municipal,vigencia_inicio,vigencia_fim,chave,versao,fonte,estado
48425,01061400,,0,Coelhos e lebres,13.45,17.16,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48426,01061900,,0,Outros animais mamiferos,13.45,17.16,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48427,01062000,,0,Repteis incluidas as serpentes e as tartarugas marinhas,13.45,17.16,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48428,01063100,,0,Aves de rapina,13.45,17.16,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48429,01063200,,0,"Psitaciformes (incluidos os papagaios, os periquitos, as araras e as cacatuas)",13.45,17.16,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48430,01063310,,0,Avestruzes para reproducao,13.45,15.45,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48431,01063390,,0,"Outros avestruzes, emus",13.45,17.16,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48432,01063900,,0,Outras aves,13.45,17.16,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48433,01064100,,0,Abelhas,13.45,17.16,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48434,01064900,,0,Outro insetos,13.45,17.16,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48435,01069000,,0,Outros animais vivos,13.45,17.16,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48436,02011000,,0,"Carcacas e meias carcacas,de bovino,frescas ou refriger",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48437,02012010,,0,"Quartos dianteiros,de bovino,n/desossad. frescos/refrig.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48438,02012020,,0,"Quartos traseiros,de bovino,n/desossados, frescos/refrig",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48439,02012090,,0,"Outs.carnes de bovino,nao desossadas, frescas ou refrig.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48440,02013000,,0,"Carnes de bovino,desossadas,frescas ou refrigeradas",13.45,20.25,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48441,02021000,,0,"Carcacas e meias-carcacas,de bovino, congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48442,02022010,,0,"Quartos dianteiros,de bovino,nao desossados, congelados",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48443,02022020,,0,"Quartos traseiros,de bovino,nao desossados, congelados",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48444,02022090,,0,"Outras carnes de bovino,nao desossadas, congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48445,02023000,,0,"Carnes de bovino,desossadas,congeladas",13.45,20.25,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48446,02031100,,0,"Carcacas e meias-carcacas,de suino,frescas ou refriger.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48447,02031200,,0,"Pernas,pas,etc.de suino,n/desossados,frescos ou refrig.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48448,02031900,,0,"Outras carnes,de suino,frescas ou refrigeradas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48449,02032100,,0,"Carcacas e meias-carcacas,de suino, congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48450,02032200,,0,"Pernas,pas e pedacos,de suinos,n/desossados, congelados",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48451,02032900,,0,"Outras carnes,de suino,congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48452,02041000,,0,"Carcacas e meias-carcacas,de cordeiro, frescas ou refrig",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48453,02042100,,0,"Carcacas e meias-carcacas,de ovino,frescas ou refriger.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48454,02042200,,0,"Outras carnes,de ovino,nao desossadas, ]frescas ou refrig",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48455,02042300,,0,"Carnes de ovino,desossadas,frescas ou refrigeradas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
